internal_ID,RA,Dec,g,r,z,W1,W2,redshift,Grade
2451,237.9575868,83.54712295,19.58079141,19.25443179,18.69439054,18.38782123,17.55896089,,A
2451,237.9582113,83.54725699,18.72537863,18.70169447,18.52721108,18.27929202,18.06542477,,A
10178,118.8171957,65.10395297,19.94152703,19.78506458,19.50978998,19.12792115,18.71948044,,C
10178,118.8190153,65.1033269,21.18397513,20.84806865,20.88936796,20.15641065,20.88513616,,C
10780,185.1789745,17.05579039,21.97676754,21.61694327,21.44879327,20.95100341,21.33876022,,C
10780,185.178984,17.05656138,20.12271306,19.63949184,19.71782043,18.38458813,17.70058439,,C
11135,341.7937085,-53.64817168,21.86503287,20.70284088,19.78552799,17.89844636,17.47309368,,B
11135,341.7931233,-53.64845852,21.99876828,20.76256046,19.83603867,18.53686316,17.67046549,,B
21027,131.2817141,82.86024159,19.92213502,19.71919127,19.83372312,19.18492786,18.72886661,,C
21027,131.2818712,82.85986932,22.60486896,22.84217953,22.32561337,21.0351039,22.64407195,,C
22650,146.5218209,81.38923432,20.84087311,20.52565515,20.23937673,18.55368849,18.31312819,,A
22650,146.5232575,81.38895037,20.05787941,19.99318423,19.94734414,18.38144393,18.38473534,,A
25056,242.5725238,79.95500566,18.69503412,18.65203239,18.77575442,16.8727667,16.43218079,,A
25056,242.5729643,79.95482514,21.53213188,22.08524387,21.77419017,20.72601491,19.33588272,,A
26029,204.0218805,79.45210401,20.67251275,20.47441726,20.05826311,18.18783999,18.10221425,,A
26029,204.0242289,79.45218264,18.18230899,18.20035588,18.28390875,16.95000707,16.40444498,,A
26330,270.3334889,79.33800055,21.1637837,20.86005341,20.62664538,20.28881613,20.13762555,,B
26330,270.3355786,79.33830165,21.95163364,21.56747389,20.92837515,20.24446343,20.14873668,,B
27003,178.0395194,78.92372609,19.88030913,18.71703127,18.14466987,17.70951821,17.76466611,,C
27003,178.0413058,78.9234404,21.34899843,20.20403561,19.71062443,19.28040697,19.73367482,,C
28723,126.8457346,78.07834248,22.10081152,20.53280003,19.72416102,18.43055378,18.82421682,,C
28723,126.8479364,78.0788152,22.22492453,20.77184703,20.02850028,19.09497373,19.68719011,,C
100255,134.1624503,83.87255107,19.99768497,19.1208823,18.85183524,18.10687926,18.34097946,,C
100255,134.1593431,83.87248737,21.1403228,20.4022309,19.92787084,18.59986567,19.23063897,,C
100255,134.1590391,83.87249768,21.07250614,20.42861602,19.92638562,18.72484177,19.44478656,,C
102268,264.7039174,54.18170346,21.95680497,21.29734112,21.06885511,21.02803721,20.56942354,,B
102268,264.7054642,54.1824263,22.83037276,22.45518588,22.23468831,21.39106351,20.75340344,,B
102763,126.4004193,54.07699773,21.25454404,20.96047149,20.90039886,20.28289265,19.83253854,1.636,C
102763,126.4002478,54.07774069,21.52062094,20.91331531,20.51943098,19.71185581,19.50852806,,C
102991,239.8938185,54.02971413,23.86612046,22.92424448,22.96910908,20.34775034,20.01227585,,C
102991,239.8920189,54.03037961,23.99817314,23.2323486,23.22953229,20.73028854,20.25970749,,C
103826,181.2105943,44.47661542,18.96856537,18.71363679,18.82972212,17.3781601,16.66555777,1.145807,A
103826,181.2115968,44.47614277,19.71189861,19.60706324,19.45167964,19.04958459,18.75887787,1.809543371,A
107815,152.6320157,16.92209673,23.50838806,23.25861444,22.66045263,20.49032199,19.35419211,,C
107815,152.6331685,16.92143858,23.77872534,23.4312977,23.12139767,20.26856116,19.46747962,,C
107884,221.4886183,16.91272698,21.07252603,20.76073601,20.83975343,19.66478987,19.11142144,,B
107884,221.4882931,16.91210433,20.81184176,20.76569867,20.71332726,19.83132815,19.28750654,,B
108188,220.8576428,9.499231474,21.58079476,20.41218769,19.73172946,18.44913256,18.70835621,,C
108188,220.8572527,9.498668037,22.29784815,20.55732661,19.72067348,18.20603467,18.7388746,,C
109407,227.9287257,-5.97398154,22.17904739,21.27465323,20.81680883,18.9514913,19.25990381,,C
109407,227.9292244,-5.973055216,21.52246338,20.34905859,19.59698561,18.43172139,18.78063795,,C
110720,55.79840268,-28.47752994,21.39699121,20.86126328,20.43846677,19.27970757,18.19770215,,A
110720,55.79737944,-28.47844047,21.79244615,21.20760913,20.68891482,19.30655276,18.68115324,,A
110720,55.79824062,-28.47812225,21.74680974,21.39512438,21.03118125,18.88689184,19.28704852,,A
114472,312.1682914,2.061835008,20.09243024,19.37111444,19.03605447,19.4549281,18.79141973,,A
114472,312.1676839,2.06138527,19.97767313,19.24097954,18.83106453,17.52137857,18.20682778,,A
212665,120.4245511,76.30806867,20.32709575,20.11831899,19.80113163,19.50142008,19.30543773,,B
212665,120.4233163,76.30757507,22.06188675,21.63357503,21.57914098,19.63301482,19.60552011,,B
214395,166.0977114,75.58377695,24.01673751,23.02562141,23.37097392,20.27290037,19.68963236,,C
214395,166.1013224,75.58498043,23.47821588,22.9304021,22.68018244,20.7300704,20.00024638,,C
214506,108.6163501,75.49792184,20.59101025,20.30920903,19.95859302,20.02623085,19.49887668,,B
214506,108.6169311,75.49715359,21.54360409,20.97265625,20.64351589,20.07621596,19.73446596,,B
214612,280.146728,75.42038063,20.95148071,20.73556221,20.46982122,19.08051942,18.65926456,,B
214612,280.1480166,75.41987153,21.88867636,21.6494597,21.50927958,20.86322666,20.86215415,,B
215230,256.0370489,75.17694369,21.66097217,21.62051295,21.20035894,19.54879418,19.03873332,,A
215230,256.0380143,75.17651692,22.21617314,21.98985328,21.76553917,20.48422992,20.6984995,,A
215236,183.1194706,75.17189829,21.03166214,20.54861761,20.21478435,20.10137843,19.41153212,,B
215236,183.1176127,75.17237144,21.25856136,20.90359075,20.82477322,19.70883796,19.15353225,,B
215516,204.9247193,75.11255214,21.5150691,20.52416093,20.0642822,18.26632265,18.08854982,,B
215516,204.9251678,75.11244482,21.24050454,20.25580818,19.78383579,18.31517169,18.23919808,,B
216200,165.0630051,74.77699758,22.80048141,21.39708273,20.65566485,19.72977614,20.02966947,,C
216200,165.0643233,74.77689857,22.17031828,20.58595693,19.76374794,18.30103358,18.5529314,,C
217318,113.5510281,74.32548736,22.6253189,21.76813269,21.24813536,20.37815312,20.55804716,,C
217318,113.5529373,74.32527167,23.00646549,22.14083881,21.65824302,20.8276858,21.27524088,,C
217439,275.4798119,74.25031639,22.43592789,21.9006708,21.11778332,20.18019572,19.79023084,,B
217439,275.4809117,74.25065346,23.35061885,21.81192991,21.34383475,19.9580052,19.58778991,,B
217484,268.5406437,74.21283816,19.93834347,19.25372451,19.21813233,19.44042854,18.7299125,,C
217484,268.542171,74.21248036,21.16182054,20.50918764,20.84672388,18.9676528,19.62992867,,C
217486,106.2974085,74.21150714,22.24984125,21.07229825,20.665549,19.91542271,20.77123074,,B
217486,106.2982582,74.21098319,21.65920977,20.31153429,19.71674543,18.85486771,19.0458128,,B
218157,268.2098622,73.92392293,21.25351946,20.80114569,20.61972585,20.01462125,19.94156962,,B
218157,268.2103326,73.9232576,21.56645392,21.02477552,21.05895657,19.63053227,19.06353304,,B
218465,121.1912436,73.87017498,19.82731335,19.11793304,18.78193174,18.90809658,18.48073745,,B
218465,121.1912516,73.87015772,19.81360679,19.09660335,18.74982459,19.22062472,18.58411955,,B
