Clusterid,RA_thiswork,Dec_thiswork,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade_thiswork,Grade_thiswork_by_LR,NUM_OF_IMG,Name_D22,RA_D22,Dec_D22,Grade_D22
2451,237.9578991,83.54718997,0.99,0.68,0.544881751,0.544881751,0.544881751,A,C,2,DESI-237.9579+83.5472,237.9579,83.5472,C
11135,341.7934159,-53.6483151,0.96,0.87,1.620296046,1.620296046,1.620296046,B,A,2,DESI-341.7934-53.6483,341.7934,-53.6483,B
103826,181.2110956,44.47637909,0.97,0.61,3.08643693,3.08643693,3.08643693,A,B,2,DESI-181.2111+44.4764,181.2111,44.4764,B
218157,268.2100974,73.92359026,0.98,0.67,2.440556979,2.440556979,2.440556979,B,A,2,DESI-268.2101+73.9236,268.2101,73.9236,C
219155,268.4845737,73.56468033,0.98,0.58,1.938960677,1.938960677,1.938960677,A,C,2,DESI-268.4846+73.5647,268.4846,73.5647,A
221046,210.4060786,72.83658688,0.97,0.75,1.954528411,1.954528411,1.954528411,A,A,2,DESI-210.4061+72.8366,210.4061,72.8366,C
225028,269.8290201,71.37118985,0.94,0.81,0.986610157,0.986610157,0.986610157,A,C,2,DESI-269.8290+71.3712,269.829,71.3712,C
235032,269.9853424,68.15613095,0.94,0.62,2.107510893,2.107510893,2.107510893,B,C,2,DESI-269.9857+68.1559,269.9857,68.1559,C
249116,104.07247,64.15257814,0.94,0.87,1.377380089,1.377380089,1.377380089,A,C,2,DESI-104.0725+64.1526,104.0725,64.1526,A
256931,120.0036954,62.21928611,0.94,0.8,1.15353254,1.15353254,1.15353254,A,C,2,DESI-120.0037+62.2193,120.0037,62.2193,A
266167,275.3760593,60.09073559,0.93,0.82,1.513311576,1.513311576,1.513311576,A,B,2,DESI-275.3761+60.0907,275.3761,60.0907,B
272753,144.3831727,58.59059683,0.97,0.81,1.437034629,1.437034629,1.437034629,B,C,2,DESI-144.3832+58.5906,144.3832,58.5906,A
1006023,239.1578029,79.42708867,0.99,0.84,0.927393314,0.927393314,0.927393314,A,C,2,DESI-239.1578+79.4271,239.1578,79.4271,A
1028529,95.47834202,52.46104102,0.93,0.92,1.929726749,1.929726749,1.929726749,A,B,2,DESI-095.4783+52.4610,95.4783,52.461,A
