RA,DEC,Name,internal_ID,z_qso,z_lens,N_images,exist_in_VS,S_RF,S_colour
138.25425,52.99133,SBS0909+532,299012,1.378,0.83,2,FALSE,0.811533876,0.811474788
202.53058,38.012,SDSSJ1330+3800,2178922,2.254,-,2,TRUE,0.981507496,0.960569576
184.19165,35.49478,SDSSJ1216+3529,2193737,2.013,0.55*,2,TRUE,0.985387958,0.932211256
203.50579,33.25953,SDSSJ1334+3315,2278656,2.426,0.557?,2,TRUE,0.975269172,0.946852205
238.409197,31.8254202,J1553+3149,2412817,2.55,-,2,TRUE,0.988558862,0.914189267
210.05341,31.58141,SDSSJ1400+3134,2414590,3.317,0.8?,2,TRUE,0.920760946,0.967157739
248.45408,31.56997,FBQ1633+3134*,2414635,1.518,0.684?,2,TRUE,0.992392008,0.751410281
147.84404,26.58719,FBQ0951+2635,2451358,1.247,0.26,2,TRUE,0.992430081,0.914279205
172.07704,24.03817,SDSSJ1128+2402,2469703,1.608,-,2,TRUE,0.989349193,0.916861103
172.9908,19.25761,SDSSJ1131+1915,2504710,2.915,0.32?,2,TRUE,0.978829273,0.714421231
194.58017,16.95489,SDSSJ1258+1657,2522295,2.702,0.4?,2,TRUE,0.982917764,0.94560968
136.01744,15.21507,SDSSJ0904+1512,2535565,1.826,-,2,TRUE,0.989108569,0.95050869
228.9106,15.19309,SDSSJ1515+1511,2535671,2.054,0.742,2,TRUE,0.996478772,0.903088479
244.193401,14.2622,J1616+1415,2542974,2.88,-,2,TRUE,0.973187231,0.940307851
204.77999,13.1775,SDSSJ1339+1310,2550705,2.241,0.607,2,TRUE,0.960686952,0.774111369
169.57035,7.76627,PG1115+080,2590890,1.735,0.311,4,TRUE,0.984436744,0.753937984
124.6268,6.0271,SDSSJ0818+0601,2604107,2.35,1.01?,2,TRUE,0.977553996,0.772426608
137.86471,5.84834,RXJ0911+0551,2605700,2.763,0.769,4,FALSE,0.953883416,0.341723157
203.89496,1.30153,SDSSJ1335+0118,2642309,1.57,0.44,2,TRUE,0.989648577,0.877481815
326.6918,-0.7957,SDSSJ2146-0047,2668860,2.381,0.799,2,TRUE,0.933672352,0.857377779
355.79975,-0.84286,ULASJ2343-0050,2669373,0.787,0.3?,2,TRUE,0.947821512,0.759078269
169.09805,-6.9608,HE1113-0641,2716372,1.235,0.75?,4,TRUE,0.980237688,0.920643023
41.64204,-8.42669,SDSSJ0246-0825,2726169,1.689,0.723,2,FALSE,0.852709328,0.378999309
352.491,-12.98306,WISE2329-1258,2745101,1.314,1.15?,2,TRUE,0.992036955,0.863192776
44.92858,-16.5953,WISEJ0259-1635,2753661,2.16,0.905? measured,4,TRUE,0.972874906,0.565747071
12.6158,-17.6693,HE0047-1756,2755533,1.678,0.407,2,TRUE,0.997228612,0.917102478
13.4349,-20.2091,DESJ0053-2012,2759910,3.8,observed,4,TRUE,0.979516709,0.879077906
78.54541,-33.43958,HE0512-3329,2786654,1.57,0.93?,2,TRUE,0.99329081,0.925535407
82.6541,-37.5031,J0530-3730,2794456,2.84,-,4,TRUE,0.945194921,0.691762378
29.6724,-43.4178,QJ0158-4325,2812547,1.29,0.317,2,TRUE,0.94642341,0.836006176
308.4257,-47.3956,WFI2033-4723,2825685,1.662,0.661,4,FALSE,0.870079316,0.352593917
61.7928,-50.10042,DESJ0407-5006,2833832,1.515,-,2,TRUE,0.989555621,0.862514059
41.9779,-63.8233,DESJ0247-6349,2885583,2.294,0.43?,2,TRUE,0.970126918,0.654184995
208.27642,11.63464,SDSSJ1353+1138,10733907,1.624,0.25*,2,TRUE,0.996700691,0.91450834
342.6437,21.29,J2250+2117,10620288,1.73,-,2,TRUE,0.984273244,0.718821325
250.0757,10.7515,PSJ1640+1045,10739128,1.7,-,2,TRUE,0.982039358,0.623222927
150.36876,50.46595,SDSSJ1001+5027,10218537,1.841,0.415,2,TRUE,0.991785287,0.845937169
232.41203,10.63454,ULASJ1529+1038,10739756,1.971,0.4?,2,TRUE,0.990298571,0.807030889
186.53342,-0.10061,SDSSJ1226-0006,11414189,1.123,0.517,2,TRUE,0.987238906,0.834949269
41.5508333,-18.7513889,J0246-1845,10936793,1.86,-,2,TRUE,0.988125147,0.849092262
